description_no,listing_id,description
499,1796217,"The beautiful 4 level town-house is the perfect place to stay if you're looking to experience what it's like to live like a local in a quiet, residential neighborhood. Enjoy the true Seattle in a soaring townhome that has room for eight, and is minutes away from dining, restaurants, and public transportation.   This home is quiet and peaceful, yet 15 minutes from the hustle and bustle of downtown Seattle.  Walk to the Ship Canal trail (two blocks) or Seattle's eclectic Fremont neighborhood (about five minutes walk away). Enter at the ground floor, kick off your shoes, take off your coat, and plan to stay awhile!  A full sized washer and dryer (complete with supples) is tucked into a closet, to make this a great place for an extended stay or families.  Make your way up a flight of stairs to two roomy bedrooms, one with a queen sized bed.  The second bedroom is an office, with twin bunk beds, TV and iHome docking station.  These two bedrooms have a shared bathroom.  The front office/bedr"
500,4661812,"My beautiful 2 BR apartment in a restored triplex has gorgeous finishes and is just a short three miles from downtown Seattle and close to great restaurants, shopping and sightseeing. Stay in the city for much less than a downtown hotel!  My apartment in the top floor of a triplex has 2 bedrooms, 1 bath, a living room, dining room, office and gorgeous kitchen, all with beautiful finishes, including clawfoot bathtub with shower, granite countertops, crown moldings, stainless steel appliances, an Italian gas stove and range, hardwood and heated tile floors, tall ceilings, large windows that provide tons of natural light and a full-size washer and dryer.  The kitchen is well equipped for cooks. I live in the Queen Anne neighborhood, which is just three miles from all the local sites to see - Space Needle, Downtown, Belltown, Pike Place Market, and the downtown waterfront.  My apartment is within walking distance of great restaurants, boutiques and coffee shops on Queen Anne Avenue.  There"
501,8811945,"We are offering the comfort and warmth of the entire top floor of our home, with view of the Olympics - minutes away from the Seattle Center, downtown, and Pike Place Market. We are on a quiet tree lined street with an electric trolly stop in front. We have lived atop Queen Anne Hill, considered one of the most highly sought after areas in Seattle, since 1979 where we have  raised 2 children. We have entirely remodeled our 1919 bungalow style home while retaining its bungalow charm: oriental rugs covering new bamboo floors in living room , dining room and kitchen. Decorative, double paned windows, built in book cases, Amish-made, Mission Style furniture, professional Garland gas stove, hand made fir cabinets, dishwasher, microwave, toaster oven and Kitchen Aid mixer. Both bedrooms overlook the garden. From the kitchen windows you can see the majestic Olympic Range. The house is located on a corner lot with the #1 Trolley line right out front to connect guests to every part of the city."
502,1090307,"Come enjoy quintessential Seattle living in my carefully renovated craftsman style home. It comfortably fits two and is centrally located minutes from I-5, UW and downtown. Enjoy a spacious kitchen, lovely patio and a hubbub of daytime activities two blocks away at Greenlake Park. The guest room is on the main floor and has a new queen sized bed, a walk in closet and it's own private bath.  If you check out the photos, you'll notice the tub is the original 1903 claw foot tub, which I mention because it requires a bit of agility to get in and out of.  The room is ideal for 1-2 people, but there's no need to stay confined in the bedroom, I have my own private space upstairs, so please make the main floor your own while you're here.  Street parking is free and rarely a problem.  For those concerned with stairs, there are about 6 steps from the curb to my yard, and another 6 steps up to my front porch, this is fairly typical of the neighborhood. There are great places to eat close by, but "
503,15108,"Beautiful charming 1912 home in Seattle. One 10' x 14' private bedroom on first floor with queen bed. Share semi-private new bathroom with other guests (if any) (owner uses separate toilet and sink, but shares shower with guests). House has lots of light, landscaped backyard oasis with hot tub and hammock and heritage-status English Walnut tree. Kitchen facilities available, use of common areas and hot tub on backyard deck. Close to the #16 and #48 buses (bus stop one block away). Conveniently located near I-5 and near the Aurora Highway (Route 99). 1 1/2 blocks from the north end of Green Lake, with BluWater, Zeek's Pizza, Urban Bakery, Cioccholati Coffee, Ben & Jerry's Ice Cream, and Duke's Chowderhouse. Green Lake is a state park with a 2.8 mile inner track circling the lake and green grass for playing and running and a kiddie pool in summer right across the street! *** Exit #172 off the freeway = Very close to I-5, Rte. 99, and bus stop a block away. Near Ballard, Fremont, Lake Cit"
504,1882316,"Main floor of our home includes 3 bedrooms, 2 bathrooms, a chef's kitchen, living room and dining room.  The lower level has a spacious family room with an additional full bath and laundry room. Large, private deck perfect for entertaining. There is a bus stop 1 block east of the house - at the corner of Corliss Ave. and 80th. From there you can catch the 16 bus towards Downtown Seattle (east bound - 30 mins) or Northgate Mall (west bound - 14 mins). There is parking available on three sides of the house (west, south, and east)."
505,1095207,"Beautiful craftsman filled with light and art. Three bedrooms on three levels, with gourmet kitchen, film room, Dual marble shower and Zen garden. Located just two blocks from Green Lake park, and within 15 minutes of downtown Seattle by bus. Craftsman home on one of Seattle's most beautiful streets, one block from Greenlake, a beloved 300-acre (120 hectares) park. Newly renovated 1926 home with gorgeous details such as film room, Zen garden, master suite with library and office, gourmet kitchen, double marble shower, three full baths, sunny deck, hot tub, period millwork and hardwood floors. Very quiet neighborhood near hip restaurants, one block from bus line, and ten minutes to downtown Seattle. From prizewinning chefs to neighborhood pubs, from contemporary galleries to exciting universities, our city has much to offer families and couples. The Greenlake neighborhood thrives with outdoor enthusiasts and wildlife lovers. Ducks, loons, herons, geese, turtles, hawks, and eagles are am"
506,1343805,This is a one month rental in Seattle for August only.  This rental does not include the basement apartment located at the same address.  Guests do not have access to the apartment bellow.  
507,9217150,"This quiet studio apt. is just steps away from Greenlake. Great dining and bars are just downstairs but out of earshot. This location is seconds from the freeway, and only 10 minutes from downtown Seattle.  Includes gated entry and full amenities. The studio is quite, spacious, and offers great natural light. Roof access gives way to a rooftop patio, complete with lounge area and grilling area. The apartment complex also includes a gym and community lounge with cable tv, a cooking area, and air conditioning. TThis apartment is just across the street from Greenlake Park which offers a 3 mile walkway around the lake, as well as water activities and rentals. This area of Greenlake also includes many restaurants and bars, though the real nightlife is further south in Fremont, Capital Hill, Ballard, and Downtown.  The location offers quick access to food and drinks, including an in building pizza place, burger place, asian food, and a great coffee shop. There are multiple buses in the area "
508,103920,"Welcome to Green Lake Place!  With a grand three-tier fountain to welcome you, Green Lake Place is ideal for any social or family gathering especially young families as we are child friendly. Experience exciting Northwest living without breaking your budget! Enjoy the popular Green Lake as your backyard, an easy stroll to all the fun from your front door. Relax with a walk or jog around the flat 2.8 mile paved trails around the lake, ride a bicycle, play tennis or golf, treat yourself to a massage, go for a swim (lake or indoor pool), sail or kayak, enjoy a play at the Bathhouse Theater. Or recharge at restaurants and pubs featuring local and ethnic foods and microbreweries. All within 10-15 minutes leisurely walk from your front door!  Otherwise, just hop in your car for a few minutes ride to more fun and shops at Northgate Mall and Thornton Creek Imax Cinemas. You can also zip easily into Downtown Seattle, University of Washington, UW Medical, Microsoft and Boeing. Green Lake is a wo"
509,2215336,"Newly renovated and hip two bedroom apartment in the basement of our craftsman home. Concrete floors and kitchen counters. Spacious, brand new appliances including washer and dryer. 950 square feet. One block from Green Lake, which has a 3-mile walking/biking trail and baseball, golf, swimming, fishing, playgrounds, dog runs etc. Green Lake also has many shops, restaurants, coffee bars and services, and is less than 15 minutes to downtown. Families welcome! Pets considered."
510,1483944,"Our house sits at the end a quiet dead end and yet has plenty to do: 1/2 mile from Green Lake, a mile from Greenwood's ""town,"" and near the fun Univ. District. Just 15 minutes from downtown with easy access to busses, and we're just off the freeway. The room is on the bottom floor and has a queen size bed, full length mirror, closet and dresser. In addition to the bedroom, enjoy a sitting room, your own bathroom, and access to the rest of the house as well. A third person  can be accommodated on the couch or an air bed. There is an additional bedroom with a full size mattress upstairs. (See listing, ""Sunny Room with a Deck."") Upstairs you are welcome to a gourmet kitchen, an outdoor deck with hot tub, a large dining table, and living room with television and DVD player.  Please feel free to have the run of the house! All of its common areas are open to you. We are available most weekends to hang out and possibly show you around. Great neighborhood for running, walking, biking and (webs"
511,6466129,"Enjoy this beautiful, cozy, very private mother-in-law apt, right on Green Lake! Blocks away from several popular cafes, bars, restaurants and tourist attractions. Most popular recreation area in the city. We would love to have you! :) Beautiful mother-in-law, in the home basement level, is located directly across from Green Lake with it's own entrance! This is my favorite spot in Seattle! In walking distance there are great restaurant's/bars, popular hang-out spots/cafes, and lots of outdoor activities. 10 min drive to downtown and bus stop one block away that goes directly downtown! There's an outdoor patio area for your leisure. It's a one full bedroom with the supreme Indulgence mattress! Though it sleeps up to 4 adults with a queen size air mattress available. One full bathroom, Washer/Dryer, fully loaded kitchen, living and dining area, and cable TV.  If you have any questions at all please contact us:)) Thanks!  Andria :) ps. I'm Andria and I manage Chad's beautiful airbnb :) Yo"
512,8536441,"Sunny and spacious modern basement apartment with a private entrance, kitchenette, large flat screen TV and pinball machine. Historical Film DÃ©cor. Spacious and sunny lower level apartment is ready for you! Private entrance and convenient on-street parking with plenty of home amenities. Clean one bedroom (queen bed), kitchenette, with a home theater for your viewing pleasure. The couch has a new comfortable full-size fold-out bed with memory foam mattress in the main room. The bathroom is clean and modern and has a stand-up shower. Guests have a separate private entrance to the apartment. We are happy to answer any questions for you. We respect your privacy as you stay. Green Lake, hip local restaurants and coffee shops within a few blocks. Walking distance to popular Green Lake park, which has a nearly 3 mile jogging trail around the lake.  Conveniently situated between vibrant Wallingford and downtown Green Lake. Only 10 minutes to the U District and downtown. Bus stops are located i"
513,6262987,"Two available guest bedrooms in nice Craftsman home. Shared kitchen and bath with homeowners. 2 blocks from the lake, centrally-located walkable neighborhood, coffee shop and restaurants on the same block. Close to UW and one bus to downtown. This 100 year old Craftsman home is spacious and comfortable. You can also enjoy our garden and big front porch. Family friendly environment. You have two choices of guest rooms- the upstairs room with a queen-size bed or downstairs room with pull-out couch that becomes a full-size bed. We've had custom quality foam cut to fit and improve the comfort of the pull-out. The upstairs room is across from our master bedroom. The downstairs room is on the same floor as the bathroom. Your choice, or if there are more than 2 people, you could book both ($55/nt additional if both rooms are used). Please note that we do only have one bathroom so we hope you are comfortable with sharing. We'll be available in person or by phone during your stay. Happy to help"
514,8379081,"A  large lower level room with window in a quaint house in the Green Lake District of Seattle.  Near major bus lines and walking distance to grocery stores.  Just 7 minutes by bus to downtown.  Your own bathroom and kitchenette.  Beautiful backyard. You will have the whole lower level of our house for your use.  You are also welcome to use our onsite laundry and detergent, with one load of laundry a week included free of charge.   Free wi-fi.  Your own small television with access to netflix as well as our small selection of DVDs and books. The space is perfect for one person, couples, and couples with children.  The room is large enough that if you have four people and an air mattress, two can sleep on the full size bed and there is still room for an air mattress.  You will need to let us know ahead of time if you would like to use the air mattress or have more than two people coming to stay so we can setup.  The room is also large enough to setup a portable crib (you will need to bri"
515,8365938,
516,9921445,"Take a seat on one of two private balconies at this 1-bed, 1-bath vacation rental, and enjoy a peek-a-book view of Seattle's beautiful Green Lake! Take a seat on one of two private balconies at this 1-bed, 1-bath vacation rental, and enjoy a peek-a-book view of Seattle's beautiful Green Lakeâ€”both the neighborhood AND the body of water for which it's named! Even better, add something delicious from the gas grillâ€”best enjoyed on the deck's 4-person dining table. Or get even closer to the lakeshore with a short stroll down to Green Lake Parkâ€”just one block away. From there, you can take advantage of walking and biking trails (great for joggers!) kayaks and paddleboard rentals, and more. With a charming, active, neighborhood feel, Green Lake is great for getting to know residential Seattle. But when you want to check out Downtown Seattle, 10 minutes in the car gets you there! INSIDE THE APARTMENT Inside, you'll find a unique and efficient layout with a full kitchen and a cozy bedroom with "
517,132160,"Green Lake Guest Suite is a two-bedroom apartment in a daylight basement with two queen beds, futon, private bath with shower, private entry, kitchen, shared patio and shared laundry. Owners live on-site. The apartment is perfect for 2 to 6 people that want a residential retreat in a vital Seattle neighborhood with the option to prepare all your meals in house. Amenities include Wifi internet, TV, Netflix streaming, heating, air conditioning, hair dryer, linens, coffee and tea. It is the lower level of a house with owners living in the separate main floor unit. New to Airbnb? Sign up here ~ http://www.airbnb.com/tell-a-friend?airef=d143z503cbzz5 Rates: To see the rate for your stay, enter your dates and number of guests (including children, infants) to the right. Monthly rentals are only offered in the off-season (Oct, Jan, Feb, Mar). The apartment is accessed by a keyless lock. You will be assigned a four-digit code. Laundry, BBQ and patio are shared space with the owners. Our apartme"
518,2033191,"Modern, view apartment just steps from Green Lake!  Newly constructed 900 square foot above-ground, full-floor basement suite with private entrance. Cook's kitchen, patio with unobstructed lake view, laundry. Short walk to restaurants, buses, & more! This 2 bedroom, 1 bath apartment will give you the experience of living in Seattle.  Located right across the street from Green Lake Park, you can jog the 2.8 mile inner loop, walk to great restaurants or catch public transportation (bus #16 or #26) to downtown.  Very family-friendly apartment -- please read our reviews! The apartment is well equipped for cooking if you feel like taking in the view from the front porch.   It's also set up well for kids.  The front bedroom was designed for them with toys, books and a low queen size futon style bed.  The rear bedroom was set up with relaxation in mind and also has a queen size bed. Basic supplies (salt, pepper, coffee and filter, tea, laundry detergent and dryer sheets) come with your stay. "
519,8849407,"This is a well furnished, clean & cozy apartment . It is a 2 bedroom with a shared bathroom. The guest room has a soft queen size bed. The apartment is 1 min walking distance from the lake as well as shops, whole foods/PCC and great restaurants. This apartment is on the top floor and makes for a warm and quite space. There is a balcony that has a fun attachable two man hammock that can be used on a good stargazing night or on a sunny day with a good book. Lots of natural light comes into the apartment giving it a bright and cheerful atmosphere, I hope you find it enjoyable. Feel free to put groceries in the fridge and use any cooking utensils that may be helpful when it comes to creating tasty meals. There is an onsite washer and dryer, each machine takes $1.50 in quarters. Thats a total of $3.00 in quarters per load, however there is a wooden drying rack in the apartments hallway closet, feel free to use it. If you are traveling in a vehicle you will find free street parking within th"
520,9922335,"Character abounds at this 2BR, 1BA vacation rental apartment in Seattle's Green Lake neighborhood, just one block from the lakeshore and 10 minutes from downtown. Sit on the deck and enjoy peek-a-boo views of Green Lake! Character abounds at this 2BR, 1BA vacation rental apartment in Seattle's Green Lake neighborhood, just one block from the lakeshore and 10 minutes from downtown.  Sit on the deck with food from the gas grill and enjoy peek-a-boo views of Green Lake!  When you want to make your way downtown, it's just a 10-minute drive right into the heart of Seattle, its waterfront, and the iconic Pike Place Market. Or take public transportation and be there in about 30 minutes, with a bus station just a one-minute walk away.  And Woodland Park Zoo is just a 15-minute walk from the front door. INSIDE THE RENTAL This apartment is the bottom floor of a two-apartment house. Hardwood floors, crown molding, and a classic, cozy feel make this a place you'll be happy to come home to.  The li"
521,7243974,"Our 1914 craftsman bungalow in Green Lake is the perfect spot to use as your base for exploring all Seattle has to offer.  Walking distance to Green Lake and Ravenna's restaurant scene , and 500 feet to a bus to downtown - it's a perfect spot! We purchased our 1914 bungalow about five years ago, gutted it, and restored it to the pristine state it's in today.  Hardwood floors throughout, two bedrooms, and a living room equipped with its original working fireplace.  The sleeping spaces are one king size bed (sleeps 2), one full size bed (sleeps 2), and an extra long couch that can sleep one.   We also just finished landscaping our backyard with a brand new deck, terraced garden, and patio.  Feel free to use our charcoal grill for a bbq out back if the weather's nice.  Or if it's chilly, you can always use our brand new heat lamp. The kitchen is a great open space with new stainless appliances and lots of counterspace if you like to cook.  Feel free to pick some vegetables from our organi"
522,6490453,"Enjoy a stay in 2015 modern green home with all the comforts! Near popular Green Lake park - recreation activities abound, relax, or devour food. Neighborhood has a walking score of 83 with many nearby restaurants, bars, fitness, and grocery stores. You have your own private bedroom and bathroom located in a modern green home built just in 2015!  There is a spacious walk-in closet to store luggage and clothes. Guest has access to all parts of the house except 2nd floor (master bedroom, office, and spare bedroom).  Mi casa tu casa! We will respect your privacy if you are inclined to it, but wouldn't mind making a meal together and sharing a bottle of wine.   I've lived in the great Pacific Northwest for 30+ years so I have intimate knowledge of Seattle/Portland/Vancouver BC area.  Happy and willing to share my knowledge of these cities and surrounding areas.  I'm an avid outdoor person - hiking, winter and summer sports, backpacking, yoga, and cycling.  I got my green thumb from my mom "
523,4025593,"This private bedroom in Seattle is located with easy access to downtown Seattle and all other rad neighborhoods by car and public transportation.  The room comfortably fits two and is just two blocks away from the gorgeous Greenlake Park in Seattle!  This private room is in a cozy 2BR apartment two blocks from Green Lake.  Green Lake Park houses a gorgeous lake, perfect for strolling during sunsets or an early morning jog.  Aside from Green Lake, our apartment is conveniently located about 5 miles away from popular tourist attractions in downtown, and even closer to hip districts like Capitol Hill, Ballard and Fremont.  We live very close to I-5, so it is convenient to get onto the freeway to go to farther areas in Washington (e.g. Rainier National Park, North Cascades, North Bend, etc).  It is also an easy 20 minute bus ride to Downtown and 10 minute bus ride to University of Washington Seattle. The room includes a full-sized bed and full closet space. You are also more than welcome t"
524,8556103,"Relax in our newly renovated home just one block away from Green Lake.  This 1,070 sq. ft. house has a large master bedroom, a spacious living room full of natural light from massive windows, and a beautiful fully equipped kitchen. The entire home was renovated in 2013 and also includes beautiful flooring throughout, a gas fireplace in the living room, an updated bathroom, a den that can function as a small office, and a back deck complete with outdoor seating and a large shade umbrella.  The house itself is set up and back from the road, with fencing and lush bushes and trees providing privacy. The master bedroom has a king sized bed that is less than a year old, quality bedding, and a 42"" HD TV with Apple TV. There is plenty to entertain yourself at home with free high speed wireless internet, cable, free access to Hulu, a 55"" HD TV in the living room, and wide selection of board games. You can enjoy full use of the house.  Cook meals in the kitchen, read a book in the sun on the bac"
525,955506,
526,9868607,"Incredible Location! One block from the lake. Walk to coffee shops, grocery stores, restaurants etc. or hit the path at Greenlake for a morning bike or jog. Just 5-7 minutes to downtown Seattle. Easy access to freeways and half block from busline. Guests have access to the entire townhome. Including the attached garage for parking. Should you have any questions throughout your stay, I will be available to answer any questions that you may have. The unit has a one car garage attached and on street parking."
527,8668073,"Beautifully remodeled house nestled amongst white birch trees with cozy interior space and fun, private outdoor spaces that include a covered firepit, trampoline and hot tub. Perfect for a family of 5.  Location is awesome--within walking distance to lake and easy highway access. The house has ample foliage so it stays cool in the Summer and feels very private in the Winter. It has two separate living rooms, and a second bedroom that is on opposite end of the Master bedroom, so guests can have privacy. There is a Nana Wall in second living area which opens on to a large deck, where there is a BBQ and propane fire pit.  The backyard has a covered trampoline, a hot tub and a wood burning fire pit.  A Sonos music system with 3 speakers set throughout the house allows you to play your favorite music from your Pandora account. The Main bedroom has a Queen size bed and en-suite bath with shower. The second bedroom, is our 4 year old daughters, and so is a twin size iron frame, princess bed. "
528,790860,"Great location, walkable to everything! Beautiful three bedrooms, newly remodeled. Comfortably fits up to six to seven guests (two queen beds plus twin-full bunk beds. Just a few blocks to the lake and foodies! Best of Green Lake has to offer! Welcome to Latona Place!  Brand new! Beautiful newly furnished modern three-bedroom home is about a 10 minutes walk to Green Lake. This large 1,800 square feet, mid-century home has been completely remodeled with all modern touches including a tankless hot water heater. The single-level duplex home has an open, spacious floor plan featuring three bedrooms, a large full-size bathroom, and a brand new kitchen. The home also features a large brick patio with outdoor table for eight. Beautifully decorated with comfortable Italian leather furnishings, writing desk and 50-inch wi-fi flat screen entertainment system with Netflix and Pandora. It also boats an incredibly well-stocked gourmet kitchen with professional gas cooktop and oven, granite countert"
529,261912,"Storybook Tudor is the main floor unit of a house with two bedrooms, Queen bed, Full bed, full bath with shower/soaking tub and twin sinks, a fully equipped kitchen, and updated furnishings. This home is perfect for 2-4 adults that want a residential retreat in a vital Seattle neighborhood with the option to prepare all your meals in house. Amenities include Wifi internet, TV, Netflix streaming, gas BBQ, heating, air conditioning, hair dryer, coffee and tea. Guests can access shared laundry, gas BBQ and shared patio space. We will be offering this unit periodically when we are on vacation. If you have stayed with us in the past, please contact us to tell us your Seattle plans, and we will do our best to accommodate you. Green Lake is the Seattle's hub for recreation. Circling the lake is a walking/running/wheels trail 2.8 miles round trip. The park offers tennis and basketball courts, baseball and soccer fields, golf course, public swimming beaches, boat/kayak/paddle board rentals, and"
530,368403,"WELCOME to Bagley Place! Besides the amazing location of having Green Lake as your own backyard, the home is large and spacious with over 4,000 square feet (3-levels, up to 6 bedrms 3 baths, great game-room, billiards hall). Sleeps 8 to 14+. Enjoy! ONLY ONE BLOCK TO LAKE!  PLUS GAME ROOM & BAR! BRAND NEW BILLIARD HALL! WELCOME to Bagley Place! You know you've arrived the moment you step out and catch a glimpse of Green Lake from its entrance. This one-of-a-kind spacious Cape Cod-style house built in 1940 with a massive 4,000+ sq ft gorgeous living space, has been lovingly remodeled with all modern comforts and conveniences including heated bathroom floor, built-in speakers and high-end stainless Viking appliances, rec-area and billiard hall. Nestled in Seattle's highly desirable Green Lake residential neighborhood, you are less than a block away from lakeside fun and activities. Perfect setting for weddings, reunions, and family getaways. Fantastic walking score of 96 out of 100! RELAX"
531,9878971,"107 year-old, lovingly restored, Victorian Craftsman only 1.5 blocks from beautiful Green Lake Park.  Sleeps 6- 9 people in approximately 2,000 sq. feet, including a private, detached studio. Sleeps 6-9+. Three bedrooms: master with king bed, second bedroom with two twins, and third bedroom with a bunk bed. Plus the detached studio can act as a private bedroom with its sectional couch that folds out into full-size sleeper. Sunroom also has a full-size futon.   Fully furnished and outfitted with all of the amenities that a family needs: Washer/dryer, grill, 50"" Flatscreen TV, Netflix, Xbox / DVD, wifi, towels & linens, and a spacious kitchen.  Fenced yard, and pets are well-behaved pets are welcome. Guests will have access to the entire house and yard, plus the private backyard studio. The home is in a great area for walking - only 1.5 blocks from the popular Green Lake Park, a 2.8 mile loop around the city's beloved freshwater lake. Walkers, joggers, bikers, and boaters all come togeth"
532,5602370,"Stay in a historic 1916 Craftsman in the famous Green Lake neighborhood of Seattle. This unique one bedroom unit is a garden apartment, with plenty of windows that allow for lots of daylight even when it is raining. It is a warm home away from home. The house is located within blocks of the North Green Lake hub of businesses, restaurants and cafes. And only a few walkable blocks from the Lake, one of Seattle's public libraries and the Seattle bathhouse theater. WA state UBI #(PHONE NUMBER HIDDEN) Note: Any stays shorter than 30 days will be charged tax (tax is already included in charge). There is always something blooming on the property. Early spring finds daffodils and crocuses exploding with color. Later in the spring enjoy the pink blooms of the two Japanese cherry trees in the front of the house. In late spring/early summer enjoy the blooming rhododendrons that surround the property. If you are lucky you may catch the beautiful scent of either the white Rosa Robusta or the Asiati"
533,9395217,"Are you looking to stay somewhere that is not stupid expensive, next to a lake, close to major bus stops, and close enough to grab drinks with your friends/family? This might be the place for you. 620 sq ft studio can be yours if the price is right! The space is a 600+ sq foot studio. It includes a washer/dryer, refrigerator, full set of plates, silverware, glassware, cookware, stove/microwave. Guest access is primarily through the front entrance, but there are also random entrances around the building that use stair access. I am definitely available to talk or ask questions throughout the day."
534,7331079,"Artistic Seattle Family Home. Beautiful craftsman home located in popular Green Lake complete with trampoline, swing set, large deck, FX workout. Three blocks from the lake, boat rentals, running trials & tennis. We love the location and spaces in our house with lots of artwork, natural light and big open family spaces. We are all about entertaining and connecting in our big kitchen on the deck or in the family piano and media room. Located in the top neighborhood of Green Lake, five minutes by car to downtown, near bus stops and biking trails. Green Lake is one of the most popular neighborhoods in Seattle for its proximity to the city, Woodland Park Zoo, restaurants, Whole Foods and coffee shops. Our favorite Thai food is located down the street along with the famous Mighty O Vegan Donuts (best chocolate frosted donut in the world). The house is designed for families of all ages equipped with trampoline, FX elliptical trainer, outdoor ping-pong and large  family style kitchen."
535,580182,"Great location in the Greenlake neighborhood -  few blocks from Starbucks, and other coffee shops/restaurants. Gourmet kitchen with marble counter tops and open living/dining room.  Enjoy your time at the lake! 2-story craftsman style home 1 block away from Greenlake.  Includes 3 bedrooms, 1.5 baths, dinning room, living room and a full kitchen. Laundry is also available on main floor.   Main floor includes 1 bedroom with a queen-sized bed and 1 full bathroom.  Upstairs includes one bedroom with half bath and a bonus room/den both with full-sized beds.  There is also a patio with a gas grill in the back of the house. Rental cars are also available on site for added convenience as well as airport pick up/drop off for additional cost and based on availability. There is a lockbox with the key in it located to the bottom left of the front door.  Key code will be provided on the day of arrival.   Guests will have access to FREE wi-fi and in-room cable tv (code will be in the house manual). "
536,8152191,"Great place to be. Only 1 min. walk from Green Lake. Two bus lines to downtown. A lot of coffee places and good food in easy walking distance.  The bed (full) is big enough for a couple.  Private room but the bathroom is shared. Charming old house in great neighborhood. Welcome to use kitchen. We are available to help you get settled in the house and neighborhood. The Green Lake area is a quiet area, with a lot of possibilities around. Good food, coffee places, run or walk around the lake. We have two bus lines here. Both are going to downtown and one goes back to Green Lake the other up to North Gate. Easy to be here without car. We both are life coach's, you can find more information on our website: nextculture-us Ich komme aus Deutschland und freue mich natÃ¼rlich Ã¼ber deutsche GÃ¤ste."
537,103908,
538,783061,"I love the Green Lake neighborhood and have lived here in this 1924 craftsman house for 24 years. Stay with me and experience a relaxed atmosphere and amazing convenience.  This is a very open, green and entertaining area of Seattle.  My house is 1 block from the most-visited park in Seattle and a short walk from Woodland Park and Zoo. Tangletown is a few blocks uphill with offerings of Zoka Coffee, 2 brewpubs, 1 bar ( pool and burgers)  a fine dining restaurant, a dessert shop and also...vegan doughnuts! The University, Fremont,  Wallingford and Green Lake business districts are nearby, with many more restaurants, coffee shops and shopping to enjoy. The Fremont troll guards the Aurora bridge nearby.  I have easy access to downtown via I-5, Rt 99 and buses, and may be able to lend you a bicycle if you'd like. Sleep in your quiet main floor bedroom, and enjoy the well-lit living and dining areas and basic but functional kitchen. There is also a finished basement room with a quality pull"
539,7901725,"Beautiful brick tudor home one block from Green Lake just minutes north of downtown Seattle, the Space Needle, Lake Union, and Lake Washington.  Green Lake is a recreation focused glacial lake (not man-made) with paddle board rentals, sailboats, paddle boats, and kayaks.  There is also a 3.2 mile paved path around the lake for rollerblading, running, walking, or cycling.  Enjoy the last days of this unusually warm summer in the best part of Seattle!"
540,4968752,
541,14386,"Beautiful charming 1912 home in Seattle, 1 1/2 blocks from Green Lake park. One small room upstairs (gabled roof with skylight): Full/double mattress on futon frame (NOTE: picture has not been updated yet - it's now a BED, not a futon), curtained windows overlooking the landscaped backyard plus skylight that brings in great natural light, TV/DVD with videos galore to watch at your leisure, Nintendo 64 with games for playing. Share semi-private first-floor bathroom with other guests (if any) (owner uses separate toilet and sink, but shares shower with guests). Kitchen facilities available, also hot tub in backyard oasis with hammock and heritage-status English Walnut tree. Close to the #16 and #48 buses (bus stop one block away). Conveniently located near I-5 and near the Aurora Highway (Route 99). 1 1/2 blocks from the north end of Green Lake, with BluWater, Zeek's Pizza, Urban Bakery, Cioccholati Coffee, Ben & Jerry's Ice Cream, and Duke's Chowderhouse. Green Lake is a state park with"
542,7517215,"Located directly on Green Lake, this beautiful house is only 3 miles from downtown and walking distance to nice restaurants and bars on the lake! Renting out my full downstairs with full bathroom and hot tub& double kayak access. There is a bar with a running sink. Conveniently located on Green Lake. Close to restaurants, bars, and Green Lake park. Located only three miles from downtown. Unique side of house entrance, no need to enter through the house! Private room access on the left of the house, to the left of the hot tub. Shampoo and conditioner. I will not be present at the house, my roommates will be upstairs. It's a cozy, family friendly community. Close to the artsy towns of Fremont and Ballard! Seattle has uber access, it costs maybe $10 to get downtown. There is yellow cab and bus lines very close! There is street parking behind the house on Woodlawn ave and in front of house on Green Lake Way. There is a specific key for the side door. The key will be located under a mat in "
543,1602421,"This wonderfully bright upstairs room (two windows plus a skylight) is a delight. It's the most private room in the house, with a gabled ceiling and cubby holes for storage and a separate walk-in closet. Beautiful charming 1912 home in Seattle, 1 1/2 blocks from Green Lake park. Share semi-private new bathroom with other guests (if any) (owner uses separate toilet and sink, but shares shower with guests). Kitchen facilities available, also hot tub in backyard oasis with hammock and heritage-status English Walnut tree. Close to the #16 and #48 buses (bus stop one block away). Conveniently located near I-5 and near the Aurora Highway (Route 99). 1 1/2 blocks from the north end of Green Lake, with BluWater, Zeek's Pizza, Urban Bakery, Cioccholati Coffee, Ben & Jerry's Ice Cream, and Duke's Chowderhouse. Green Lake is a state park with a 2.8 mile inner track circling the lake and green grass for playing and running and a kiddie pool in summer right across the street! *** Exit #172 off the "
544,3821822,"Spacious and contemporary layout in a day-lighted garden apartment. Private entrance and off-street parking. All new premium bedding and furnishings. Very clean and beautifully appointed. One minute from express bus line, five minutes from Green Lake An excellent base for exploring Seattle and Green Lake---one of the city's great close-in neighborhoods. Our contemporary, private apartment is perfect for up to three adults and can accommodate a family of four (with two small children). Comfortable and spacious with charming details throughout: we would love to host you! Featuring: All new premium mattress with hypoallergenic bedding with cotton linens.  Fully equipped kitchen and dining set up for your home-cooked meals. Fresh roasted whole-bean coffee from Fremont's Longshoreman's Daughter (and a selection of teas) is provided.  Quality furnishings and original artwork throughout.  The apartment includes an adjacent outdoor patio space, with access to ornamental and edible gardens. Clo"
